title,text_raw,url,text_clean,sentiment_label,sentiment_score,source_type,username,date
Ekonomi Indonesia Tetap Resilien Meski Rupiah di Rp18.000,"Meski rupiah melemah, fundamental ekonomi Indonesia tetap kuat dengan cadangan devisa yang memadai dan pertumbuhan stabil.",https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,meski rupiah melemah fundamental ekonomi indonesia tetap kuat dengan cadangan devisa yang memadai dan pertumbuhan stabil,positive,0.82,,,
Rupiah Tembus Rp18.000 per Dolar AS,Nilai tukar rupiah menyentuh level Rp18.000 per dolar AS. Pemerintah dan BI terus memantau situasi.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,nilai tukar rupiah menyentuh level rp18 000 per dolar as pemerintah dan bi terus memantau situasi,neutral,0.55,,,
Rupiah Anjlok ke Level Terlemah Sepanjang Sejarah,Pelemahan rupiah hingga Rp18.000 menimbulkan kekhawatiran terhadap daya beli masyarakat.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,pelemahan rupiah hingga rp18 000 menimbulkan kekhawatiran terhadap daya beli masyarakat,negative,0.25,,,
Dampak Pelemahan Rupiah Terasa ke Sektor Riil,Banyak pelaku usaha mengeluhkan kenaikan harga bahan baku akibat rupiah terus melemah.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,banyak pelaku usaha mengeluhkan kenaikan harga bahan baku akibat rupiah terus melemah,negative,0.25,,,
Faktor Eksternal Penyebab Rupiah Tembus Rp18.000,Kenaikan dolar AS akibat kebijakan The Fed menjadi faktor utama pelemahan rupiah.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,kenaikan dolar as akibat kebijakan the fed menjadi faktor utama pelemahan rupiah,neutral,0.55,,,
Pemerintah Siapkan Langkah Antisipasi Pelemahan Rupiah,Pemerintah dan BI optimis dapat menstabilkan rupiah melalui berbagai kebijakan yang disiapkan.,https://money.kompas.com/read/2026/06/04/085746426/rupiah-tembus-rp-18000-per-dollar-as-terlemah-sepanjang-sejarah,pemerintah dan bi optimis dapat menstabilkan rupiah melalui berbagai kebijakan yang disiapkan,positive,0.82,,,
,"rupiah melemah parah sampai 18000, pemerintah gak ngapa-ngapain!",https://www.instagram.com/p/C8xyzABC123/,rupiah melemah parah sampai 18000 pemerintah gak ngapa ngapain,negative,0.25,instagram,user1,2026-06-01
,"gila dollar 18 ribu, belanja susah banget",https://www.instagram.com/p/C8xyzABC123/,gila dollar 18 ribu belanja susah banget,negative,0.25,instagram,user2,2026-06-01
,"ini bencana ekonomi, rakyat menderita",https://www.instagram.com/p/C8xyzABC123/,ini bencana ekonomi rakyat menderita,negative,0.25,instagram,user3,2026-06-01
,daya beli hancur total,https://www.instagram.com/p/C8xyzABC123/,daya beli hancur total,negative,0.25,instagram,user4,2026-06-01
